ID,ExpiryDate,Strike,DateAndTime,Timestamp,Volume,VWAP,IntervalTotal
156,2020-09-18,24,2020-07-23T14:46:00,1595529960,1,0.65,65
157,2020-09-18,24,2020-07-23T15:09:00,1595531340,1,0.66,66
158,2020-09-18,24,2020-07-24T09:39:00,1595597940,5,0.9,450
159,2020-09-18,24,2020-07-24T10:56:00,1595602560,1,0.72,72
160,2020-09-18,24,2020-07-24T15:20:00,1595618400,3,0.77,231
161,2020-09-18,24,2020-07-24T15:53:00,1595620380,1,0.76,76
162,2020-09-18,24,2020-07-27T10:14:00,1595859240,1,0.79,79
163,2020-09-18,24,2020-07-27T11:35:00,1595864100,1,0.82,82
164,2020-09-18,24,2020-07-27T11:58:00,1595865480,1,0.81,81
165,2020-09-18,24,2020-07-27T12:06:00,1595865960,2,0.79,158
166,2020-09-18,24,2020-07-28T09:33:00,1595943180,1,0.83,83
167,2020-09-18,24,2020-07-28T11:44:00,1595951040,1,0.81,81
168,2020-09-18,24,2020-07-28T12:46:00,1595954760,2,0.82,164
169,2020-09-18,24,2020-07-28T14:04:00,1595959440,1,0.77,77
170,2020-09-18,24,2020-07-28T15:18:00,1595963880,1,0.9,90
171,2020-09-18,24,2020-07-29T10:10:00,1596031800,1,0.84,84
172,2020-09-18,24,2020-07-29T10:32:00,1596033120,1,0.84,84
173,2020-09-18,24,2020-07-30T09:30:00,1596115800,4,0.97,388
174,2020-09-18,24,2020-07-31T10:27:00,1596205620,1,0.76,76
175,2020-09-18,24,2020-07-31T11:11:00,1596208260,1,0.71,71
176,2020-09-18,24,2020-07-31T12:14:00,1596212040,1,0.72,72
177,2020-09-18,24,2020-07-31T14:35:00,1596220500,10,0.72,720
178,2020-09-18,24,2020-07-31T14:54:00,1596221640,5,0.75,375
179,2020-09-18,24,2020-07-31T15:01:00,1596222060,186,0.74,13764
180,2020-09-18,24,2020-07-31T15:50:00,1596225000,1,0.67,67
181,2020-09-18,24,2020-07-31T15:59:00,1596225540,2,0.64,128
182,2020-09-18,25,2020-07-20T09:44:00,1595252640,1,0.6,60
183,2020-09-18,25,2020-07-20T10:03:00,1595253780,6,0.53,318
184,2020-09-18,25,2020-07-20T10:30:00,1595255400,2,0.52,104
185,2020-09-18,25,2020-07-20T10:40:00,1595256000,1,0.51,51
186,2020-09-18,25,2020-07-20T10:53:00,1595256780,10,0.5,500
187,2020-09-18,25,2020-07-20T10:54:00,1595256840,5,0.5,250
188,2020-09-18,25,2020-07-20T11:45:00,1595259900,268,0.485709,13017
189,2020-09-18,25,2020-07-20T11:46:00,1595259960,361,0.4622715,16688
190,2020-09-18,25,2020-07-20T14:26:00,1595269560,2,0.56,112
191,2020-09-18,25,2020-07-20T14:56:00,1595271360,3,0.58,174
192,2020-09-18,25,2020-07-20T15:08:00,1595272080,1,0.57,57
193,2020-09-18,25,2020-07-20T15:09:00,1595272140,3,0.57,171
194,2020-09-18,25,2020-07-21T09:43:00,1595338980,11,0.54,594
195,2020-09-18,25,2020-07-21T09:50:00,1595339400,21,0.5195238,1091
196,2020-09-18,25,2020-07-21T10:16:00,1595340960,1,0.52,52
197,2020-09-18,25,2020-07-21T13:24:00,1595352240,5,0.6,300
198,2020-09-18,25,2020-07-21T15:51:00,1595361060,1,0.6,60
199,2020-09-18,25,2020-07-22T10:48:00,1595429280,20,0.75,1500
200,2020-09-18,25,2020-07-22T11:08:00,1595430480,4,0.74,296
201,2020-09-18,25,2020-07-22T11:15:00,1595430900,11,0.73,803
202,2020-09-18,25,2020-07-22T11:55:00,1595433300,1,0.72,72
203,2020-09-18,25,2020-07-22T12:18:00,1595434680,4,0.7,280
204,2020-09-18,25,2020-07-22T12:24:00,1595435040,10,0.72,720
205,2020-09-18,25,2020-07-22T13:53:00,1595440380,7,0.77,539
206,2020-09-18,25,2020-07-22T13:55:00,1595440500,2,0.78,156
207,2020-09-18,25,2020-07-22T13:56:00,1595440560,1,0.79,79
208,2020-09-18,25,2020-07-22T14:04:00,1595441040,20,0.78,1560
209,2020-09-18,25,2020-07-22T14:28:00,1595442480,1,0.83,83
210,2020-09-18,25,2020-07-22T14:32:00,1595442720,10,0.88,880
211,2020-09-18,25,2020-07-22T14:33:00,1595442780,3,0.87,261
212,2020-09-18,25,2020-07-22T15:32:00,1595446320,25,0.8976,2244
213,2020-09-18,25,2020-07-22T15:35:00,1595446500,5,0.9,450
214,2020-09-18,25,2020-07-22T15:41:00,1595446860,1,0.84,84
215,2020-09-18,25,2020-07-23T09:49:00,1595512140,5,0.75,375
216,2020-09-18,25,2020-07-23T10:13:00,1595513580,1,0.77,77
217,2020-09-18,25,2020-07-23T10:42:00,1595515320,1,0.71,71
218,2020-09-18,25,2020-07-23T11:27:00,1595518020,1,0.73,73
219,2020-09-18,25,2020-07-23T12:14:00,1595520840,1,0.74,74
220,2020-09-18,25,2020-07-23T12:35:00,1595522100,4,0.79,316
221,2020-09-18,25,2020-07-23T12:44:00,1595522640,1,0.77,77
222,2020-09-18,25,2020-07-23T14:13:00,1595527980,40,0.93,3720
223,2020-09-18,25,2020-07-23T14:15:00,1595528100,20,0.92,1840
224,2020-09-18,25,2020-07-23T14:16:00,1595528160,40,0.93,3720
225,2020-09-18,25,2020-07-23T14:17:00,1595528220,10,0.95,950
226,2020-09-18,25,2020-07-23T14:20:00,1595528400,3,0.9233333,277
227,2020-09-18,25,2020-07-23T14:21:00,1595528460,6,0.9216667,553
228,2020-09-18,25,2020-07-23T15:00:00,1595530800,3,0.89,267
229,2020-09-18,25,2020-07-23T15:11:00,1595531460,51,0.89,4539
230,2020-09-18,25,2020-07-23T15:24:00,1595532240,8,0.89,712
231,2020-09-18,25,2020-07-24T09:30:00,1595597400,1,1,100
232,2020-09-18,25,2020-07-24T09:34:00,1595597640,2,1.11,222
233,2020-09-18,25,2020-07-24T09:39:00,1595597940,2,1.21,242
